src	trg	src_ctx
Santana, I brought you something.	Santana, ich habe dir etwas mitgebracht.	You know, when jesus was cruciﬁed on the cross, there was a thief named Dismas on the cross next to him. - He believed in Jesus and asked him not to forget him when he died. - When Jesus died he took Dismas to heaven and Dismas became a saint.	 
I will gather an army. An army of the undead.	Also werdet ihr demnächst konfrontiert mit meiner Armee der Untoten.	Let your eyes enjoy the sight of my army. - You call that an army? - Grandpa over there puts a undead shit in his pants.	 
An employee I had to let go.	Ein Angestellter, den ich gehen lassen musste.	What'd he do? - He put hisself in a position where he was gonna have to do ten years in prison. - That's what he did.	 
An engineering physicist we were working with.	Ein technischer Physiker, mit dem wir zusammenarbeiteten.	His name was Tolen Ren. - The Banean Minister of Science introduced us to him after we arrived. - So... from the other side of the galaxy.	 
An old one from one of the trucks or something?	Irgendwelche alten von den Lastwagen oder so was?	Well, the only spare tyre I've seen around here belongs to Lieutenant Meinberg. - - Well, is he using it? - - Yes, he's very attached to it.	 
An opponent wouldn't know that.	Ein Gegner wüsste das nicht.	He will be off-guard. - Once more, then? - Yes.	 
It's our turn now, Marlowe.	Jetzt sind wir dran, Marlowe.	We're getting even back home too. - Our vote slung old Churchill and his mob out. - You people haven't got the world by the shorts any longer.	 
Look, it's not Casey's fault I was late.	Casey kann nichts für meine Verspätung.	Do you know how many hours she has spent on this job, and all for spec? - I mean, the least you could do is just give her a minute. - We've been waiting here a lot of minutes. For you.	 
- Can you get me Mr. Campbell?	- Können Sie Mr. Campbell zu mir schicken?	- He didn't come in today. - He's sick. - Call his house. It's important.	 
Alright, [pr] could have made it as far as Cedar Rock City after [pr] left Glenn.	Also, der Junge könnte bis Cedar Rock City gekommen sein nachdem er Glenn verlassen hat.	But he could have also gone south to San Antonio. - Where is my duck? - There would be yet another way, Major.	 
Six minutes to go, Stevie.	Noch 6 Minuten, Stevie.	Chew, chew, chew! - You're helpin' him chew now! Oh, no. - Forty-two.	 
And now Ward awaits [pr] opponent, Shea Neary.	Ward erwartet seinen Gegner, Shea Neary.	Neary regards himself as the European Arturo Gatti. Meaning that he is a head-on, high-contact fighter who throws 70 punches per round. - Neary's from Liverpool and should have a huge following here tonight. - Accompanied by Paint the Town Red by The Mahones.	 
It wasn't an accident, Rowan.	Aber es war kein Unfall, Rowan.	Simon stepped in front of an 18-wheeler. - He killed himself on the day that he was supposed to marry you knowing you were pregnant and not caring that it would ruin you. - You knew that?	 
And right there, you just sucked in your cheek, Which means you were trying to wipe away An obvious emotion.	Und jetzt saugen sie Luft in ihr Wange was bedeutet das Sie versuchen... eine offensichtliche Emotion nicht zu zeigen.	Ronnie's the only friend we have. - Jeff never came back from the war. - He grabs his knife, and he vanishes at night, And the only person I can call is Ronnie.	 
- Like a balloon or an egg. - An egg?	- Wie ein Ballon, wie ein Ei.	Worse: It's as if I had lost her twice without knowing why. - Is it because I caused her harm or is it the pills I got at the clinic? - - You went to the clinic?	 
Mr. O'Shay, as military commander of the expedition, I say flatly one more irresponsible action, and we'll go on without you.	Mr. O'Shay, als Kommandeur der Expedition sage ich Ihnen: Noch so eine unverantwortliche Tat und wir fliegen ohne Sie!	- Now, look... - - That is definite, sir! - Well, I suppose you share his views too.	 
The issue isn't one of trust in Tam's intentions but in [pr] judgement.	Es geht nicht darum, ob man Tam trauen kann oder nicht.	- He'll do what he believes is right. - - Of course. But his judgement... ls precarious. - The stress of exposure to so many minds here is bad enough.	 
Aunt Peyton and Uncle Skills and Quentin.	Tante Peyton und Onkel Skills und Quentin.	And grandpa Dan... I miss him a lot. - Yeah, it's hard when you miss people. - But, you know, if you miss them, it means you were lucky.	 
It's all built off of Casey's solution to the self-awareness problem.	Alles baut auf Caseys Lösung für das Problem der Empfindungsfähigkeit auf.	- He did it six months ago. - - He did what exactly? - Instead of creating an artificial intelligence, he duplicated an existing one.	 
Mrs. Sibley, until George may speak for himself, clearly and audibly as a man, let us at least admit it is you, Mrs. sibley, who lead the select men of Salem.	Mrs. Sibley, bis George wieder für sich selbst sprechen kann, klar und deutlich wie ein Mann, lasst uns zumindest eingestehen, dass Ihr es seid, Mrs. Sibley, die die Stadträte von Salem anführt.	I submit it is high time that the select men of Salem either elect a new leader or explicitly affirm that they choose to be led by Mary Sibley under the name of her incapacitated husband, George. - If you think this pox cares whether you be led by a woman or a man, you will all die. - The pox no more discriminates by sex than a lion prefers to eat a man or a woman.	 
Hey, Robbie, you need to take your baby to see Dr. Coles, okay?	- Hey, Robbie, du bringst dein Baby zu Doktor Coles, okay?	Tell him I'll pay for it when I can. - Gotcha. - Look, I don't want you bringing Sooz and the baby out here, using them as bait. Okay?	 
Isa told me about Corinne.	Isa hat mir das mit Corinne erzählt.	It's not too bad, is it? - What do you mean? - Her depression.	 
An armed man on the run.	Ein Bewaffneter auf der Flucht.	You know what he might do. - - He isn't the violent type. - - Nor the type to rob 5 million!	 
All right, so you're going to have a pointed conversation with Mr. Merlyn.	Okay, also wirst du ein gezieltes Gespräch mit Mr. Merlyn führen.	Well, even if I take out Merlyn, the other archer is still out there. - He can set off the device. - We need to find it.	 
About preserving the ancient line of Salem.	Darüber, die uralte Linie von Salem zu erhalten.	Everything is at risk because Fiona has become confused, reckless. - She's forgotten that Marie Laveau has been and always will be her sworn enemy. - Marie Laveau must die.	 
An old man was buried here yesterday.	-irgend 'n Opa wurde gestern bestattet.	Last night, somebody dug him out and chopped him up. - We've been looking everywhere for his head. - Sometimes I don't understand the world anymore.	 
Look, Lavon, I get it, all right?	Schau, Lavon, ich verstehe es, okay?	I get that I... lost the only girl that ever meant... anything to me and I'll never get her back, and I have to live with that. - And as a bonus to the most glorious screw-up of my already gloriously screwed up life, - I get that on top of losing the best girl I ever had, now I've lost the best friend I ever had, and, uh...	 
Mr. dillinger, have you found a safe place for Mr. Casey?	Mr. Dillinger, haben Sie einen sicheren Ort für Mr. Casey gefunden?	You could say that. - No, no, no, you can't bring him here. - You have to take him somewhere else.	 
It's just, jax... [pr] doesn't have An outer crust like most of us.	Bei Jax ist es so... er hat nicht die harte Schale, wie die meisten von uns.	He just lets everything in, Swallows it whole. - The shit just boils in his gut. - Since he was a kid.	 
An embarrassment, shall we say?	Eine PeinIichkeit, sagen wir mal.	- Would that win his favor? - - Perhaps. - Done.	 
An undercover cop in disguise wears blacks shoes and white socks.	Ein Undercovercop läuft mit schwarzen Schuhen und weißen Socken rum.	Everybody knows who he is. - You've made your point. - I want you to keep your moustache.	 
I just wanted to thank you for a great first day, and for, you know... standing up for me with Mr. Campbell.	Ich wollten Ihnen für einen tollen, ersten Tag danken und für, Sie wissen schon... der Hilfe bei Mr. Campbell.	First of all, Peggy, I'm your boss, not your boyfriend. - Second of all, you ever let Pete Campbell go through my trash again, and you won't be able to find a job selling sandwiches in Penn Station. - He said he left his fountain pen in here.	 
Artie will be announcing this summer's Limelight production.	Artie wird nun die Hauptproduktion dieses Sommers ankündigen.	Haunting Of The Opera! - I think he thinks it could help his career. - What career? He hasn't produced anything in 10 years.	 
An adopted daughter in lieu of a real one.	Eine adoptierte Tochter anstelle einer leiblichen.	Sir, the Secretary is here. - FRANCIS: - Thank you. Send her in.	 
Alva, I asked your Mama.	Alva, ich fragte ihre Mama.	She says it's OK for you to go with me to the Moonlight Casino tomorrow. - - Well, let me think about it. - - They got a real good band.	 
An invisible man angry at history for not seeing him.	Ein unsichtbarer Mann, der sauer auf die Geschichte war, die ihn nicht wahrnahm.	For a nobody, he sure wrecked a lot of lives. - Zack confessed to killing the lobbyist. - Stabbed him in the heart.	 
An Apache weeps.. There are tears in [pr] eyes..	Ein Apachi weint, Seine Augen sind nass.	-He was a lonesome.. - -Aziz Bey! What do you want? - Sheriff Lloyd challenges you to a duel on the square.	 
An hour after I called him, [pr] was dead.	Eine Stunde nach meinem Aufruf, war er tot. Er muss gewusst haben, dass wir ihm auf der Spur waren.	- It could have been handled better. - - Listen, Walker made his own choices. - He knew the risks.	 
An ant must've bitten Bill when [pr] was having [pr] teeth x-rayed.	Eine Ameise muss Bill gebissen haben, als seine Zähne geröntgt wurden.	I've been meaning to have the office fumigated, but I've been too darn busy! - Anyway, the ant's saliva must have gotten into Bill's bloodstream... and gone straight to his brain just as the radiation, which is measured in units called Roentgens, was released. - And that's how he became a?	 
Dude,I'm A Pre-Med Student Who's Found An Enterprising Way To Earn  [pr] Way Through College.	Kumpel, ich bin ein Medizinstudent der eine unternehmerischen Weg gefunden hat, sich seinen Weg durch College zu verdienen.	You,On The Other Hand, Are A Junkie, And I Don't Think You Want Your Cute Family Knowing That, Do Ya? - I'll Have Her Home By 10:00. - This Is Delicious, Mrs. Delfino. Thank You.	 
Blair is having an affair... With your ex.	Blair hat eine Affäre... mit deinem Ex.	I'm referring to Dan, not the myriad of men since. - What are you talking about? - Dan said he hasn't even seen Blair since she got back from Europe.	 
How can this letter Be authentic if the guy's Been dead for a year? Could be An elaborate forgery.	Wie kann dieser Brief authentisch sein, wenn der Kerl schon seit einem Jahr tot ist?	Or it could be The genuine article, - Just written Before his death. - Well, mail here Isn't that slow.	 
The popular Euro deputy, Giannina Ricci, will be back in Spain next week.	Die populäre EU-Abgeordnete, Giannina Ricci, wird nächste Woche nach Spanien zurückkehren.	After her tour of Europe closing factories that posed an environmental threat, she will continue with her investigations at the International Ecological Forum now being held in Madrid, presenting a detailed report on illegal activities carried out by various companies, - including the multinational Petronosa. - Her radical defense of environmental laws has won her many enemies and there have already been two attempts on her life, fortunately without any consequences.	 
Get Remy Danton on the phone.	Holen Sie Remy Danton ans Telefon. Vereinbaren Sie so schnell wie möglich ein Treffen.	Set up a meeting as quickly as you can. - Tusk understands the difference between power and money. - That's precisely what makes him dangerous.	 
Campbell, did you tell [pr] who this idiot's father is?	Campbell, hast du ihm verraten, wer der Vater dieses Idioten ist?	He said he's a shipping magnate, not a client. - Horace Sr. Is connected to Bert Cooper in a million ways, and I don't know if he would like what just happened in there. - You want to run it by his daddy?	 
An unhappy adult can start again from scratch.	Ein unglücklicher Erwachsener kann von vorne anfangen.	But an unhappy child is helpless. - He feels unhappy, but he can't put a name to it. - And deep inside himself he cannot even challenge his parents or any other adults who hurt him.	 
An important painter once mentioned [pr] name to me as that of a rare talent.	Ein großer Maler nannte mir einmal ihren Namen als den einer seltenen Begabung.	I'd like to warn you for some reasons, but I know the futility of such an action and how he who warns is detested by him who loves unfortunately. - That's why I prefer helping you instead of giving advice to you. - Ah, if you could... I will court for you.	 
Oh, you know Jill Casey?	Sie kennen Jill Casey?	No, no, but I read about her and Hank online... - Yeah, AJ googled me. - I am sure she'll google you, too, as soon as we leave here.	 
Even though we couldn't actually see Emery walk across and receive [pr] diploma, I think we all felt like this is one of our proudest moment.	Auch wenn wir Emory nicht sehen konnten, wie er über die Bühne schritt und sein Diplom erhielt, denke ich, fühlten wir uns alle so stolz wie selten zuvor.	Yeah, we probably shouldn't have done that. - At least Emery's mom got some good pictures. - She said she could always photoshop out his anguish.	 
In 1983, doctors Campbell, Chen, and their collaborators began to analyze the vast amount of information that had been collected.	1983 begannen Chen, Campbell und ihre Kollegen, die gesammelten Informationen auszuwerten.	The job would take years. - After eight weeks eating plant-based foods, Joey Aucoin was still off all his medications. - When I started this, I had all these side effects from medication and from my being so unhealthy.	 
An entire lamb for the cyclops?	Hier steht, ein ganzes Lamm für den Zyklopen.	Why are we feeding him? - He eats his guards if we don't. - - Let's find him some cheaper meat.	 
An enticing offer... ... but... ... whatdoestheladywant inreturn?	Ein verlockendes Angebot, aber was willst du als Gegenleistung?	Let's cool it for now. - I've got someone I want you to meet. - His name is Bane.	 
Lau Lin-kong's parents are my dad's friends.	Also, die Eltern von Guang sind Freunde meines Vaters.	They reported him missing. - My dad sent out a detective to look for him. - He found out Kong's involved with a drug house in the New Territories.	 
An old woman's voice asks, "Who's there?" and I say I'm looking for Roger Goodwin.	"Wer ist da?" Ich: "lch suche Roger Goodwin".	Is that you, Roger? she says, and then she undoes about fifteen locks and opens the door.... - She has to be at least eighty, maybe ninety years old, and the first thing I notice about her is she's blind. - I knew you'd come.	 
Remy's not in [pr] office.	Remy ist nicht in seinem Büro.	I left word there and on his cell. - Look, you need to call me the moment you know where he is. - Okay.	 
They? An Inspector's come from Scotland Yard.	Ein Inspector von Scotland Yard kam mit.	What does he want with me? - What does he want with any of us? - None of it makes any sense.	 
An important relationship has ended.	Eine wichtige Beziehung... endete.	And if we're to be honest with ourselves and speak from the heart, we'd understand that we need time to reflect, heal, meditate. - Ah, dear sinless Jesus, shut your facial anus. - Why is he even here?	 
An imposing task, when each among my stable stands a titan!	Eine eindrucksvolle Aufgabe, wenn jeder in meinem Stall ein Titan ist!	Perhaps good Vettius should have taken more time with the choosing of his own. - Words fall from your mouth, as shit from ass. - Let us not become mired in base exchange.	 
I got eyes on Casey, Finch, but your friends from the government have a jump on him.	Ich habe Casey im Blick, Finch, aber Ihre Freunde von der Regierung sind an ihm dran.	You need to get to Casey before they do, Mr. dillinger. - Yeah, I'm aware of the stakes, thank you. - They're not gonna ghost him on a public street.	 
Jackie don't know where Marco's staying.	Jackie weiß nicht, wo Marco wohnt.	I deal with him, she don't. - Leave her alone and I'll tell you. - Who is it?	 
Tell the FBI I will meet with Jack Landry.	Sag dem FBI, dass ich mich mit Jack Landry treffen werde.	Anna's off the ship. - She took the bait and went after Lisa. - How's my daughter doing?	 
And you know as well as I do, the calm won't last. And when it breaks, there are going to be pieces of Blair all over the wall.	Und du weißt genauso gut wie ich, diese Ruhe hält nicht an und wenn sie bricht, werden überall an der Wand Stücke von Blair sein.	And I really don't want to clean up that mess. - What are she and Serena fighting about this time? - Basically how each one loves the other more than the other loves her.	 
And in light of Campbell's death, they exhumed Helen Mitchell's body, and lethal amounts of arsenic were found in [pr] system as well.	In Anbetracht von Waynes Tod, exhumierten sie Helen Mitchells Leiche, und eine tödliche Menge Arsen wurde in ihrem Kreislauf gefunden.	Handwritten letters, poisoning by arsenic-- we could be looking at a female unsub. - Who wants her victims to have foreknowledge of their deaths. - That's a new one.	 
If [pr] doesn't retake the Natividad, he's in for serious trouble.	Wenn er die Natividad nicht wieder zurückbekommt, ist er in Schwierigkeiten.	Surely it isn't his fault that Spain changed sides in the war. - I'm afraid the Admiralty won't stop to consider that. - - You're fond of the captain, aren't you?	 
There was this kid... Robbie Walover.	Da war dieser Junge, Robbie Walover.	He was a great athlete. - He was funny. - Everybody liked him.	 
So... what time is everyone going over to Lavon's tomorrow night?	Also... Um wie viel Uhr schaut ihr morgen bei Lavon vorbei?	Well, I'm afraid that George and I won't be attending the party. - My poor fiancé is still hobbling around on crutches thanks to that terrible crossbow incident, and I just don't feel right leaving him all by himself. - You are such a good person, Lemon.	 
An amoebic infection would cause fever and meningitis.	Eine amöbische Infektion würde das Fieber und die Meningitis verursachen.	But not liver failure. - It could if he had a clot. - How could amoebas get past his cribriform plate?	 
This is Stevie's new baby sister.	Das ist Stevies kleine Schwester.	- Can I pick her up? - - I think so. - She's your daughter.	 
Look, Artie, this was the real Santa, okay?	Hör mal, Artie,... das war der echte Weihnachtsmann, okay?	Oh, and by the way, be nice, because Santa is bad-ass. - There really was a Saint Nicholas in fourth century turkey, and he was known to have put coins in people's shoes.	 
Did you hear they asked Jackie to be the Grand Marshall of the Pioneer Day Parade?	Hast du gehört, sie haben Jackie gebeten, die Pioneer Day Parade anzuführen?	They're gonna put her on the top of the fire truck. - They should put her under the fire truck. - It's about the videotape.	 
Su-Lin. That's Peter Wong's girl friend.	Su-Lin war Peter Wongs Freundin.	That's right. - The police think she may have been killed somewhere else. - They have no motive as yet.	 
Even if Tyler did kill Riley and Nina, why would [pr] have been the one harassing me?	Auch wenn Tyler, Riley und Nina getötet hat, warum sollte er dann derjenige sein, der mich belästigt?	It doesn't make sense. - You're right. - The Mayor needs to open the beaches, but he wants to be sure the shark's dead.	 
An abductor's sole mission is to protect what [pr] possesses.	Das einzige Ziel eines Entführers ist, seinen Besitz zu schützen.	The target didn't intend to kill her. - And because he dumped her body in the woods like a piece of trash, you can be certain he will replace her with another girl. - ♪ I know you've deceived me, now here's a surprise ♪	 
Let's call Artie, see if he's got anything on what this might be.	Rufen wir Artie an, mal sehen, ob er Hinweise hat, um was es sich hierbei handeln könnte.	Well, I'm sure that he would call us if he had. - Yeah, but he's been so scattered lately. - - Can't hurt to check.	 
The witness in question is Dr. Thomas Larkin, a reverend and therapist who allegedly conducted secret marriage counseling sessions for the president and First Lady.	Der fragliche Zeuge ist Dr. Thomas Larkin, ein Reverend und Therapeut, der angeblich eine geheime Eheberatung für den Präsidenten und die First Lady durchführte.	The White House counsel wouldn't be manipulating testimony without explicit direction from the Oval Office. - And just as disconcerting is the fact that our president is seeking psychological treatment, and chose to hide this from the American people. - If we can't trust him about that, how do we know he wasn't involved in a money laundering scheme?	 
Today I watched meredith perform An emergency craniotomy by herself.	Heute habe ich Meredith zugesehen,... wie sie selbst eine Notfallkraniotomy durchgeführt hat.	She was perfect. - She's got her mother's talent. - She's got her mother's looks, richard.	 
I'm rooting for you, Jackie.	Ich bete für dich, Jackie.	I really am. - Can I have his office? - Too soon.	 
It's just that I had some business down at the courthouse and met your roommate Peyton.	Es ist nur, dass ich im Gerichtshaus etwas erledigen musste, und deine Mitbewohnerin Peyton kennenlernte.	- Bit of a spitfire, isn't she? - - Yeah. - Is she seeing anyone presently? - - Probably.	 
- My name is Lin.	- Mein Name ist Lin.	My family has watched over the Emperor's tomb for centuries. - The Emperor cannot be killed unless he is stabbed through the heart with this. - My mother put a curse on it long ago.	 
Wait, didn't Casey say that Beckman had [pr] working on something new?	Warte, hat Casey nicht gesagt, dass Beckman ihn an etwas neuem arbeiten lassen würde?	Do you think Beckman is sending him out on missions without us? - That's crazy talk, Sarah, why would Beckman do that? - We're Casey's team.	 
The thing about Artie is that he's lost A lot of people in [pr] life--including agents.	Die Sache mit Artie ist,... dass er eine Menge Menschen in seinem Leben verloren hat,... einschließlich Agenten.	So now he just shuts everybody out. - It's a defense mechanism. - That's not an excuse.	 
Try to convince lndio to go north, and then go along the Rio Bravo.	- Lassen Sie Indio nach Norden reiten. Bis zum Canyon von Rio Bravo.	It's a good spot for an ambush and we can get him between two fires. - You on the outside, me on the inside, right? - North?	 
This isn't about helping Riley, it's about saving Annie.	Es geht nicht darum Riley zu helfen, es geht um die Rettung von Annie.	Look, if I'm wrong... - I'll turn him in to you myself. - I got a tip!	 
- You stay with Casey. - Okay.	Bleib du bei Casey.	Oh, God. Why won't he wake up? - Here. - Gimme that. Gimme that. I'll tie it around the wrist.	 
Merlyn's Undertaking violated the League's principles.	Merlyns Unternehmungen haben gegen die Prinzipien der League verstoßen.	When you killed him, we considered the matter settled. - But then we received word from a reliable source that Merlyn faked his demise. - What source?	 
Then, I thought that Trio Mortes... was the toughest gang in Rio.	Damals dachte ich das Ternura Trio wäre die härteste Gang Rios.	But they were just amateurs. - Even my bro Naive. - Give these to dad but do not tell him it's from me.	 
I'll go to my friend Kiran's house.	Ich komme schon klar. Ich gehe zu meiner Freundin Kiran.	And her father will throw you out again. - - I'll go to school. - - You've been expelled.	 
How long can a man sit on a fortune without spending a penny, Jackie?	Wie lange kann man auf Geld hocken, ohne was auszugeben?	As long as he wants, Michael. - The longer it's sat on, the bigger our share. - Jesus, man! Where is it from?	 
What is not commonly known is that during the negotiations, you, Kalin Trose, quelled a plot by a radical from your own moon who was attempting to assassinate the Beta delegate.	Nicht allgemein bekannt ist, dass während dieser Verhandlungen Sie, Kalin Trose, den Anschlag eines Fanatikers vereitelt haben, der zum Ziel hatte, den Delegierten von Beta zu töten.	It is true. - Perhaps he was wiser in his youth than he is now. - Odan, you must convince him to stop.	 
An avalanche yesterday claimed the life of Aspen local Dexter Rutecki.	Der Einheimische Dexter Rutecki kam gestern in einer Schneelawine um.	Rutecki was swept into the slide while practising for the Powder 8... - His partner, T J Burke, was treated for minor injuries. - TJ, come on.	 
Early diagnosis and special training did help Tam adjust, but [pr] has some problems.	Rechtzeitige Diagnose und spezielles Training halfen Tam, aber er hat noch immer Probleme.	You mentioned a hospitalisation. - For stress. - Repeatedly, throughout his life.	 
An evil man, in truth... for there was with [pr] a certain ugly and cruel humor... that made [pr] name a byword in the county.	Ein böser Mann, um genau zu sein. Denn er war von Charakter so gehässig und grausam, dass sein Name zum Inbegriff dieser Eigenschaften wurde.	- Our friend learns swiftly. - - Aye. - He's already learned to fly like a wildfowl... and now he swims like a waterfowl.	 
- Mm-hm. An outburst of fury.	- Ich hatte einen Wutanfall.	Uncontrolled possessiveness. - Call it jealousy, if you will. - You know, I remember well the day when she first came to me.	 
An assassin named Floyd Lawton laces [pr] bullets with curare.	Ein Attentäter namens Floyd Lawton, tränkt seine Kugeln in Kurare.	I've dealt with this before. - We need to dilute the poison in his bloodstream. - I said stay the hell back!	 
An opiate-user would score a point eight, maximum.	Jemand, der Opiate nimmt, würde höchstens einen Wert von 1,8 erreichen.	Ergo, Ipso-Facto, Colombo, Oreo, she didn't have a drug problem. - What? ! That-that's not even Latin. - I mean, all your bone density test proves is that she wasn't a habitual drug user.	 
An American named Freddy Miles was murdered.	Ein gewisser Freddy Miles wurde ermordet.	Did you know him? - Yes, he was a friend of Philippe's. I saw him often in Mongibello. - I'll fill you in on the circumstances of the murder later, Mr. Risley.	 
When [pr] learned of Campbell's research, Esselstyn removed dairy products from [pr] patients' diet.	Aufgrund von Campbells Forschungsergebnissen entfernte Esselstyn Milchprodukte aus der Diät seiner Patienten.	The results of his ongoing study continued to be impressive, and in 1995, he published a paper detailing them in a noted scientific journal. - Yet one of Esselstyn's most remarkable success stories involved a colleague of his at the Cleveland Clinic, Dr. Joseph Crowe. - Actually I was, um, active, healthy, very busy, uh, mid-40s, absolutely, um, no risk factors at all for any heart problem.	 
- She's out, Mr. Campbell.	- Sie ist aus gegangen, Mr. Campbell.	Her car's in the drive. - Well, she came back, but then she went out.	 
An alien who has changed [pr] into this form?	Ein Außerirdischer, der sich diese Form gab?	An illusion? - I cannot conceive it possible that Abraham Lincoln could have actually been reincarnated. - And yet his kindness, his gentle wisdom, his humour, everything about him is so right.	 
And when they're like Jaime or Pedro, your life has no value any longer.	Und wenn dieser Andere jemand wie Jaime oder Pedro ist, kannst du dein Leben abhaken.	I thought he would kill me. - τhere are many Pedros in this. - Go, you're still in time.	 
Lorin Davis, the director of the clinic.	Lorin Davis, dem Direktor der Ambulanz.	Was he brokering organs? I never asked, - I never wanted to know. - But you kept doing it.	 
An apothecary would have had to be consulted.	Ein Apotheker hätte hinzugezogen werden müssen.	I am so sorry to interrupt you, ladies! And sir. - Master William Buxton! - No I think we should not call him "Master" now, he is so much broader than when we saw him last!	 
- Gabrielle Blair was misdiagnosed.	- Gabrielle Blair wurde falsch diagnostiziert.	Turns out she can talk after all. - You're going down. - Tell us the truth and we might be able to make things a little easier on you.	 
-  [pr] isn't on the guest list. - An oversight?	- Er ist offenbar nicht eingeladen.	- An intentional one. - He is fasting. - - ln that case, we decline with thanks.	 
Blair asked you to do that?	Blair bat dich, das zu tun?	Oh, I owe her a favor or 12. - I don't need a babysitter. Besides... - He already has one.	 
An artist is somebody who produces things, that people don't need.	Künstler stellen Dinge her, die keiner braucht.	You know... - Your work might interest another client of mine, whose general theme is destruction of completely useless objects. - I'm sure he'd love to smash up some of your mannequins at his next photoshoot.	 
Right, the Mountain or our man Jaime.	In Ordnung... Der Berg oder unser Mann Jaime.	If he ever gets out. - Loras Tyrell? - Loras Tyrell.	 
[pr] kept...  [pr] had an alibi for the Cara Landry murder.	Er hatte ein Alibi für den Cara Landry Mord.	Did he say where he was going? - No. He said he wanted me to prove that he was innocent. - He said he saw his kid last night.	 
I've come to wrestle the Blair chapter from your hot little hands.	Ich bin gekommen, um dir das Blair-Kapitel aus deinen kleinen heißen Händen zu ringen.	I haven't finished it yet. - You're lying. - You're here in some desperate attempt to regain Blair's love, but you know when she reads what you wrote about her, she's gonna hate you forever.	 
Aw, come on, Robbie. Climb the castle walls.	Ach, komm her, Robin, stürme die Burgmauern...	Sweep her off her feet. - Carry her off in style. - [ Sighing ] It's no use, Johnny.	 
An American woman was questioning her.	Eine Amerikanerin hat sie befragt.	She said Simone was warning them to get out of London? - Said she was trying to protect them from you. - Find out exactly where she is in the building.	 
I've scrambled the local P.D. to An Bai's house.	Ich habe die örtliche Polizei zu An Bais Haus gerufen.	They should get there before you do. - Were you able to reach her? - No answer on her cell.	 
An appeal of the school board's decision was launched just last week by local parents.	Ein Einspruch gegen die Entscheidung der Schulbehörde wurde letzte Woche von den ansässigen Eltern eingereicht.	But thanks to a strong counter-fight by Karen Desai, it was quickly overturned, paving the way for Desai's return today. - Twisted 01x01 Pilot Original Air Date March 19, 2013 - I just can't believe he came back here.	 
An assassin doesn't go to church.	Ein Atttentäter geht nicht in die Kirche.	She'll show up when it's too late. At the next assassination, this will cost me my head. - He laughs. He laughs. - Why, you...	 
- Yes. Jackie.  [pr] mustn't be left alone.	- Jackie darf nicht allein bleiben.	She isn't. Don't worry. - Oh, God. It's all been my fault. - I treated her so badly.	 
What college does Blair's consort go to?	Auf welches College geht Blairs Gefährte?	Yeah, well, that's not what he told Blair. - Do some research, junior. - I'm in the mood to be right.	 
Peyton, you took a chance. You know, you took a huge, beautiful risk.	Du hast eine Chance genutzt, bist ein wundervolles Risiko eingegangen.	She just doesn't quit! Does she? - Sending you around here to do her dirty work for her. - She needs you.	 
An informant of ours told us that he's...	Ein Informant von uns hat uns erzählt, dass er...	That he's planning to kill your boyfriend Guardo. - To take over his drug protection business. - I don't know any Guardo.	 
Jaime is your eldest son, heir to your lands and titles.	Jaime ist dein ältester Sohn. Er erbt Titel und Ländereien.	But he is a Kingsguard, forbidden from marriage or inheritance. - The day Jaime put on the white cloak, he gave up his claim to Casterly Rock. - I am your son and lawful heir.	 
[pr] betrayed your mother to Sutton.	Er hat deine Mutter an Sutton verraten.	It was a death sentence. - I repaid him with a life sentence. - I know you don't trust me, but I was protecting you.	 
Milan, that frigging doctor's not to blame.	Also Milan, dieser schwule Doktor ist uns nichts schuldig.	He might have been just like you if they'd butchered his mother. instead, she's walking around Belgrade now, and he was lucky enough to stay the same refined frigging doctor. - We can only envy him! - You and I and that kid over there can only envy him!	 
Well, if that's all, Mr. Campbell...	Wenn das alles ist, Mr. Campbell?	Check his pockets while you got him. See if he's got some cash to pay for all this damage. - Everly, you have a call. - Give us a call if you find anything else.	 
An old buddy of mine lives up here, he's gonna take care of us.	Hier wohnt 'n alter Kumpel von mir. Der wird sich um uns kümmern.	Owes me a favour. - It ain't much. Old bat that lived here went to visit her sister for the holidays. - Lousy spark plugs!	 
An area most people are afraid to deal with nowadays.	Ein Gebiet, an dem zu arbeiten heutzutage die wenigsten den Mut aufbringen.	This makes her murder an even greater blow to society. - He attacked her in the car. - Go back	 
So then I called a pal of mine, Artie Green... an awful nice guy, an assistant director.	Also rief ich einen Freund von mir an, Artie Green. Ein sehr netter Mann, ein Regieassistent.	He could let me have 20. But 20 wouldn't do. - Then I talked to a couple of yes-men at Metro. To me they said no. - Finally I located that agent of mine.	 
You didn't have any problem getting into business with Hayden and Campbell though.	Es hat Ihnen aber keine Probleme bereitet, mit Hayden und Campbell ins Geschäft zu kommen.	Sometimes... things don't turn out the way that you plan them. - Four years ago, I came to your father. I begged Serg to get out of the business and he agreed. - That signed the beginning of the end.	 
- (Jessie) Frank, come on.	- (Jessie) Frank, komm.	After the hearing, Judge Ramsey's court writ mittimus papers. - The board had to release him to me. - On the stairs outside, he just dropped.	 
[pr] name is Seneca.	Er heißt Seneca.	Seneca? - Because he is so clever. - Would you like to have him?	 
